2	File_Number		FILENUM	\
3	Case Number		CASE_NO	\
4				\SUBJECT\ADDR\STREET
5				\SUBJECT\ADDR\CITY
6				\SUBJECT\ADDR\STATEPROV
7				\SUBJECT\ADDR\ZIP
8				\SUBJECT\LEGAL\DESCRIPTION
9				\SUBJECT\COUNTY
10				\SUBJECT\ASSESPARCEL\NUM
11				\SUBJECT\TAXYEAR
12				\SUBJECT\RETAXES
13				\SUBJECT\SPECIALASSESS
14				\SUBJECT\BORROWER
15				\SUBJECT\CURRENTOWNER
16	MCH	OWNER		\SUBJECT\CURRENTOCCUPANT
17	MCH	TENANT		\SUBJECT\CURRENTOCCUPANT
18	MCH	VACANT		\SUBJECT\CURRENTOCCUPANT
19				\SUBJECT\NBRHOODPROJNAME
20	MCH	PUD		\SUBJECT\PROJ\TYPE
21	MCH	CONDO		\SUBJECT\PROJ\TYPE
22				\SUBJECT\HOMEOWNERASSNFEE
23	MCH	FEESIMPLE		\SUBJECT\PROPRIGHTS
24	MCH	LEASEHOLD		\SUBJECT\PROPRIGHTS
25				\SUBJECT\MAPREF
26				\SUBJECT\CENSUSTRACT
27	MCH	URBAN		\NBRHOOD\LOCATION
28	MCH	SUBURBAN		\NBRHOOD\LOCATION
29	MCH	RURAL		\NBRHOOD\LOCATION
30	MCH	OVER 75%		\NBRHOOD\BUILTUP
31	MCH	25-75%		\NBRHOOD\BUILTUP
32	MCH	UNDER 25%		\NBRHOOD\BUILTUP
33	MCH	RAPID		\NBRHOOD\GROWTHRATE
34	MCH	STABLE		\NBRHOOD\GROWTHRATE
35	MCH	SLOW		\NBRHOOD\GROWTHRATE
36	MCH	INCREASING		\NBRHOOD\PROPVALUES
37	MCH	STABLE		\NBRHOOD\PROPVALUES
38	MCH	DECLINING		\NBRHOOD\PROPVALUES
39	MCH	SHORTAGE		\NBRHOOD\DEMANDSUPPLY
40	MCH	INBALANCE		\NBRHOOD\DEMANDSUPPLY
41	MCH	OVERSUPPLY		\NBRHOOD\DEMANDSUPPLY
42	MCH	UNDER 3 MOS.		\NBRHOOD\MARKETINGTIME
43	MCH	3-6 MOS.		\NBRHOOD\MARKETINGTIME
44	MCH	OVER 6 MOS.		\NBRHOOD\MARKETINGTIME
50				\NBRHOOD\SINGLEFAM\AGE\HIGH
49				\NBRHOOD\SINGLEFAM\AGE\LOW
51				\NBRHOOD\SINGLEFAM\AGE\PREDOMINANT
47				\NBRHOOD\SINGLEFAM\PRICE\HIGH
46				\NBRHOOD\SINGLEFAM\PRICE\LOW
48				\NBRHOOD\SINGLEFAM\PRICE\PREDOMINANT
56				\NBRHOOD\CONDO\AGE\HIGH
55				\NBRHOOD\CONDO\AGE\LOW
57				\NBRHOOD\CONDO\AGE\PREDOMINANT
53				\NBRHOOD\CONDO\PRICE\HIGH
52				\NBRHOOD\CONDO\PRICE\LOW
54				\NBRHOOD\CONDO\PRICE\PREDOMINANT
45				\NBRHOOD\NBRHOODBOUNDARIES
58	MCH	YES	VALUE	\SITE\SITECONFORMNBRHOOD
59	MCH	NO	VALUE	\SITE\SITECONFORMNBRHOOD
60				\SITE\SITECONFORMNBRHOOD\DESCRIPTION
61	MCH	YES		\SITE\ZONING\CONFORM
62	MCH	NO		\SITE\ZONING\CONFORM
63				\SITE\ZONING\DESCRIPTION
64	MCH	PRESENTUSE	HIGHESTBESTUSE	\SITE\HIGHESTBESTUSE
65	MCH	OTHER	HIGHESTBESTUSE	\SITE\HIGHESTBESTUSE
66				\SITE\HIGHESTBESTUSE\DESCRIPTION
67	MCH	ON		\SITE\UTILITIES\ELECTRIC\PUBLIC
68				\SITE\UTILITIES\ELECTRIC\OTHER
69	MCH	ON		\SITE\UTILITIES\GAS\PUBLIC
70				\SITE\UTILITIES\GAS\OTHER
71	MCH	ON		\SITE\UTILITIES\WATER\PUBLIC
72				\SITE\UTILITIES\WATER\OTHER
73	MCH	ON		\SITE\UTILITIES\SANITARYSEWER\PUBLIC
74				\SITE\UTILITIES\SANITARYSEWER\OTHER
75				\SITE\OFFSIGHTIMPROVE\STREET\TYPE
76	MCH	PUBLIC		\SITE\OFFSIGHTIMPROVE\STREET\PUBLICPRIVATE
77	MCH	PRIVATE		\SITE\OFFSIGHTIMPROVE\STREET\PUBLICPRIVATE
78				\SITE\OFFSIGHTIMPROVE\ALLEY\TYPE
79	MCH	PUBLIC		\SITE\OFFSIGHTIMPROVE\ALLEY\PUBLICPRIVATE
80	MCH	PRIVATE		\SITE\OFFSIGHTIMPROVE\ALLEY\PUBLICPRIVATE
81	MCH	YES	VALUE	\SITE\UTILITIESOFFSIGHT
