Frmid	Clickforms Name	Air	Lh	Lh Alternate	AI Alternate
1	URAR	1	1		
2	URAR XComps	1	1		
3	Statement Of Lim. Cond./Appraiser'S Cert.	1	1		
7	Condo '94	1	1		
8	Condo XComps	1	1		
9	Land	1	1		
10	Land XComps	1	1		
11	Mobile Home	1	0		
13	Second Mortgage 704	0	0		
14	Second Mortgage 704 wQ	0	1		
15	Second Mortgage 704 XComps	0	1		
18	Income 2-4 Units	1	1		
19	2-4 XListings	1	1		
20	2-4 X Rentals	1	1		
21	2-4 XComps	1	1		
26	Income 71B	1	0		
29	Comparable Rent	1	1		
30	Completion Certificate Legal	0	0		
31	Completion Certificate Letter	0	0		
32	Operating Income Statement	1	1		
34	FNMA 1075	1	0		
37	FNMA 2055	1	1		
38	FNMA 2055 XComps	1	1		
39	FNMA 2065	1	1		
41	FNMA 2075	1	1		
43	FMAC 2070	1	1		
44	Condo 465A	1	0		
51	Satisfactory Completion Certificate	0	1		
52	1005 1/4	1	0		
53	FEMA Flood 10-98	0	0		
54	1004D 5/04	1	0		
55	2056 1/4	1	0		
58	1004 5-04 XComps	1	0		
81	ERC Condo Addendum '91	0	1		
87	ERC Report '01	1	0		
90	FNMA 2045	1	0		
91	FNMA 2045A	1	0		
92	FNMA 2045B	1	0		
93	FMAC 2055	0	1		
94	Completion Certificate Wphoto	0	0		
95	ERC 2003	1	0		
97	Untitled Comments Legal	1	1		
98	Comments Legal	1	1		
100	Comments Letter	1	1		
101	Location Map	1	1		
102	Flood Map	1	1		
103	Plat Map	1	1		
104	Community Map	1	0		
105	Land Sales Map	1	0		
106	Land Use Map	1	0		
107	Listings Map	1	0		
108	Neighborhood Map	1	0		
109	Regional Map	1	0		
110	Rental Map	1	0		
111	Sales Map	1	0		
112	Site Map	1	0		
113	Zone Map	1	0		
114	Untitled Map Legal	1	1		
115	Untitled Map Letter	1	1		
116	Location Map W Addresses	1	0		
117	Survey Map	1	0		
118	Plat Map W Comment	1	0		
119	FNMA 1004C	1	1		
122	Comparable Rental XComps	1	0
125	Review 2000 '90	1	1		
132	Review Short 2006	1	1		
138	Review 2000 '02	1	1		
139	Review 2000 XComps	1	1		
148	Income 71A ('98)	1	0		
161	Wachovia Desktop Valuation Analysis	1	0		
162	Desktop Valuation XComps	1	1		
170	FMAC BPO	1	0		
176	Review Short Comparable Sales	1	1		
194	USPAP Certification 03-99	0	0		
195	USPAP Compliance (Fill-In)	1	0		
199	USPAP Certification 2002	0	0		
201	Sketch	1	1		
202	Sketch W Location Map	1	0		
203	Sketch Letter	1	0		
204	Sketch Commercial	1	0		
205	Sketch Letter No Header	1	0		
220	Invoice #1	0	0		
221	Invoice #4	0	0		
222	Transmittal Letter	0	0		
223	Invoice #3	0	0		
225	Invoice #6	0	0		
226	Review Transmittal Letter #2	0	0		
227	Invoice #7	0	0		
233	Review Transmittal Letter	0	0		
235	Invoice #2	0	0		
237	Invoice #5	0	1		
238	Transmittal Letter #2	0	0		
239	Transmittal Letter #3	0	0		
279	Mobile Home #2	0	0		
285	Invoice #9	0	0		
286	Landsafe Additional Field Review Report	0	1		
288	Advantage	0	1		
289	High Dollar Addendum	0	1		
292	AI Ready Invoice	1	0		
294	Invoice #8	0	0		
301	Subject Photo	1	1		
302	Subject Photo Xtra	1	1		
304	Photo Comps XXX	1	1		
306	Photo Listings XXX	1	1		
308	Photo Untitled	1	1		
309	Photo Single 3X5	0	1		
310	2-Photos	1	1		
311	Photo Subject Lg	1	1		
312	Photo Subject Lg Extra	1	1		
314	Photo Comps XXX Lg	1	1		
316	Photo Listings XXX Lg	1	1		
317	Photo Rentals XXX Lg	1	1		
318	Photo Untitled Lg	1	1		
319	Photo Single Lg	0	0		
320	Photo Single 2-Photos	1	1		
321	Photo Subject And Map	0	0		
322	Photo 2 3X5 Letter	0	0		
323	Photo 2 4X6 Legal	0	0		
324	Photos 6 Untitled	0	1		
325	Photos 15 Untitled	0	0		
326	Photos 12 Untitled Legal	0	0		
327	Photos 12 Untitled Letter	0	0		
328	Photo Untitled Vertical	0	0		
334	Option One Review	1	0		
340	1004 3-2005	1	1		
341	1004 3-2005	1	1		
342	1004C 3-2005	1	1		
343	1004C 3-2005	1	1		
344	1004D 3-2005	1	1		
345	1073 3-2005	1	1		
346	1073 3-2005	1	1		
347	1075 3-2005	1	1		
