16-Bit Name,FormID,FileName,UID,PG #,Version,Num Cells,Page Name
URAR2P1, ,FM00011,1,1,1,280,"URAR Page 1"
URAR2P2, ,FM00012,1,2,1,273,"URAR Page 2"
REV2, ,FM00021a,2,1,1,225,"Residential Appraisal Review Comps 123"
RVUF3   , ,FM00021b,2,1,1,225,"Review Field 1032/2000 Comps 123"
RVUF5   , ,FM00021c,2,1,1,225,"Review Field 1032/2000 Extra Comps 456"
URAR2P3,,FM00021d,2,1,1,225,"URAR Extra Comps 456"
URAR2P4 , ,FM00021e,2,1,1,225,"URAR Extra Comps 789"
URAR2P5 , ,FM00021f,2,1,1,225,"URAR Extra Comps 101112"
APRCRT1 ,,FM00032,3,2,1,15,"Appraiser Certification"
LIMIT3  ,,FM00031,3,1,1,0,"Statement of Limiting Conditions"
UPUD1   ,,FM00041,4,1,1,84,"URAR PUD Addendum"
CONDO1  ,,FM00071,7,1,1,296,"Condo Page 1"
CONDO2  ,,FM00072,7,2,1,299,"Condo Page 2"
CONDO3  ,CONDO,FM00081,8,1,1,252,"Condo Extra Comps"
LAND1   ,LAND,FM00091,9,1,1,264,"Land Appraisal Report"
comp456 ,LAND,FM00101,10,1,1,113,"Land Extra Comps 456"
MOBIL1  ,MOBIL,FM00111,11,1,1,344,"Mobile Home Page 1"
MOBIL2  ,,FM00112,11,2,1,189,"Mobile Home Page 2"
MOBIL3  ,,FM00121,12,1,1,174,"Mobile Home Comps 456"
R704B1  ,,FM00131,13,1,1,251,"704 Second Mortgage Page 1"
R704B2  ,,FM00151,15,1,1,146,"704 Second Mortgage Page 2"
SINCOM1 ,,FM00181,18,1,1,211,"Income 2-4 Page 1"
SINCOM2 ,,FM00182,18,2,1,197,"Income 2-4 Page 2"
SINCOM3 ,,FM00183,18,3,1,256,"Income 2-4 Page 3"
SINCOM4 ,,FM00184,18,4,1,334,"Income 2-4 Page 4"
SINCOM5 ,,FM00191,19,1,1,63,"Income 2-4 Listing 4-5-6"
SINCOM6 ,,FM00201,20,1,1,203,"Income 2-4 Rent 4-5-6"
SINCOM7 ,,FM00211,21,1,1,312,"Income 2-4 Sales 4-5-6"
TITLE4  ,,FM02121,212,1,1,11,"Cover Sheet #4"
TITLE5  ,,FM02141,214,1,1,8,"Cover Sheet #6"
TITLE3  ,,FM02131,213,1,1,11,"Cover Sheet #3"
R71A01  ,,FM00221,22,1,1,155,"Income 71A Page 1"
R71A02  ,,FM00222,22,2,1,107,"Income 71A Page 2"
R71A03  ,,FM00223,22,3,1,134,"Income 71A Page 3"
R71A04  ,,FM00224,22,4,1,126,"Income 71A Page 4"
R71A05  ,,FM00225,22,5,1,401,"Income 71A Page 5"
R71A06  ,,FM00226,22,6,1,254,"Income 71A Page 6"
R71A07  ,,FM00227,22,7,1,170,"Income 71A Page 7"
R71A08  ,,FM00228,22,8,1,23,"Income 71A Page 8"
R71A13  ,,FM00231a,23,1,1,248,"Income 71A Sales 456"
R71A14  ,,FM00231b,23,1,1,248,"Income 71A Sales 789"
R71A11  ,,FM00241a,24,1,1,193,"Income 71A Rentals 456"
R71A12  ,,FM00241b,24,1,1,193,"Income 71A Rentals 789"
R71A09  ,,FM00251a,25,1,1,70,"Income 71A Cost Approach 456"
R71A10  ,,FM00251b,25,1,1,70,"Income 71A Cost Approach 789"
R71B1   ,,FM00261,26,1,1,200,"Income 71B Page 1"
R71B2   ,,FM00262,26,2,1,440,"Income 71B Page 2"
R71B3   ,,FM00263,26,3,1,303,"Income 71B Page 3"
R71B4   ,,FM00264,26,4,1,56,"Income 71B Page 4"
R71B6   ,,FM00271a,27,1,1,239,"Income 71B Sales 456"
R71B8   ,,FM00271b,27,1,1,239,"Income 71B Sales 789"
R71B5   ,,FM00281a,28,1,1,148,"Income 71B Rentals 456"
R71B7   ,,FM00281b,28,1,1,148,"Income 71B Rentals 789"
CPRENT1 ,,FM00291,29,1,1,172,"Comparable Rent Schedule"
CMPCRT1 ,,FM00301,30,1,1,14,"Completion Certificate"
OIS1    ,,FM00321,32,1,1,108,"Operating Income Page 1"
OIS2    ,,FM00322,32,2,1,69,"Operating Income Page 2"
COOPRQ1 ,,FM00331,33,1,1,90,"Cooperative Request"
COOPIN1 ,,FM00341,34,1,1,225,"Cooperative Individual Page 1"
COOPIN2 ,,FM00342,34,2,1,98,"Cooperative Individual Page 2"
COOPIN3 ,,FM00343,34,3,1,282,"Cooperative Individual Page 3"
COOPIN4 ,,FM00351,35,1,1,264,"Cooperative Individual Extra Comps 456"
S2055P1 ,,FM00371,37,1,1,286,"Fannie Mae 2055 9-96 Page 1"
S2055P2 ,,FM00372,37,2,1,48,"Fannie Mae 2055 9-96 Page 2"
S2055P3 ,,FM00373,37,3,1,31,"Fannie Mae 2055 9-96 Page 3"
S2055P4 ,,FM00381,38,1,1,175,"Fannie Mae 2055 9-96 Extra Comps"
S2065P1 ,,FM00391,39,1,1,279,"Fannie Mae 2065 9-96 Page 1"
S2065P2 ,,FM00392,39,2,1,48,"Fannie Mae 2065 9-96 Page 2"
S2065P3 ,,FM00393,39,3,1,31,"Fannie Mae 2065 9-96 Page 3"
S2065P4 ,,FM00401,40,1,1,164,"Fannie Mae 2065 9-96 Extra Comps"
s20751  ,,FM00411,41,1,1,129,"Fannie Mae 2075"
s20951  ,,FM00421,42,1,1,200,"Cooperative 2095 Page 1"
s20952  ,,FM00422,42,2,1,80,"Cooperative 2095 Page 2"
s20953  ,,FM00423,42,3,1,270,"Cooperative 2095 Page 3"
s20954  ,,FM00424,42,4,1,2,"Cooperative 2095 Page 4"
s20955  ,,FM00425,42,5,1,32,"Cooperative 2095 Page 5"
FM2070  ,,FM00431,43,1,1,158,"Freddie Mac 2070 Page 1"
FM20702,,FM00432,43,2,1,0,"Freddie Mac 2070 Page 2"
R465A1  ,,FM00441,44,1,1,20,"Condo 465A Page 1"
R465A2  ,,FM00442,44,2,1,126,"Condo 465A Page 2"
R465B1  ,,FM00451,45,1,1,107,"Condo 465B Page 1"
R465B2  ,,FM00452,45,2,1,67,"Condo 465B Page 2"
LOANV1  ,,FM00491,49,1,1,180,"Loan Valuation"
UCIAR01 ,,FM00661,66,1,1,154,"UCIAR - Extra Property Page 1"
UCIAR02 ,,FM00662,66,2,1,151,"UCIAR - Extra Property Page 2"
UCIAR03 ,,FM00663,66,3,1,148,"UCIAR - Extra Property Page 3"
UCIAR04 ,,FM00664,66,4,1,182,"UCIAR - Extra Property Page 4"
UCIAR05 ,,FM00665,66,5,1,17,"UCIAR - Extra Property Page 5"
UCIAR06 ,,FM00666,66,6,1,136,"UCIAR - Extra Property Page 6"
UCIAR07 ,,FM00667,66,7,1,67,"UCIAR - Extra Property Page 7"
UCIAR08 ,,FM00668,66,8,1,158,"UCIAR - Extra Property Page 8"
UCIAR09 ,,FM00669,66,9,1,246,"UCIAR - Extra Property Page 9"
UCIAR10 ,,FM0066a,66,10,1,54,"UCIAR - Extra Property Page 10"
UCIAR11 ,,FM0066b,66,11,1,174,"UCIAR - Extra Property Page 11"
UCIAR12 ,,FM0066c,66,12,1,65,"UCIAR - Extra Property Page 12"
UCIAR13 ,,FM0066d,66,13,1,71,"UCIAR - Extra Property Page 13"
UCIAR14 ,,FM0066e,66,14,1,8,"UCIAR - Extra Property Page 14"
UCIAR15 ,,FM07501,750,1,1,135,"UCIAR-EP Extra Site Comps"
UCIAR16 ,,FM07511,751,1,1,167,"UCIAR-EP Extra Income Comps"
UCIAR17 ,,FM07521,752,1,1,182,"UCIAR-EP Extra Sales Comps"
UCIAR18 ,,FM07531,753,1,1,57,"UCIAR-EP Extra Building Comps"
UCIARS1 ,,FM00671,67,1,1,174,"UCIAR - Small Property Page 1"
UCIARS2 ,,FM00672,67,2,1,281,"UCIAR - Small Property Page 2"
UCIARS3 ,,FM00673,67,3,1,168,"UCIAR - Small Property Page 3"
UCIARS4 ,,FM00674,67,4,1,221,"UCIAR - Small Property Page 4"
UCIARS5 ,,FM00675,67,5,1,161,"UCIAR - Small Property Page 5"
UCIARS6 ,,FM00676,67,6,1,108,"UCIAR - Small Property Page 6"
UCIARS7 ,,FM00677,67,7,1,7,"UCIAR - Small Property Page 7"
UCIARS8 ,,FM07551,755,1,1,137,"UCIAR - Small Property Page 8"
UCIARS9 ,,FM07561,756,1,1,134,"UCIAR - Small Property Page 9"
UCIARS10,,FM07571,757,1,1,167,"UCIAR - Small Property Page 10"
RSTRCT1 ,,FM00701,70,1,1,67,"Restricted Appraisal Report Page 1"
SUMMAR1 ,,FM00721,72,1,1,255,"Summary Appraisal Report Page 1"
SUMMAR2 ,,FM00761,76,1,1,163,"Summary Appraisal XComps"
ERCCON1 ,,FM00811,81,1,1,133,"ERC Condo Addendum"
ERCMKT1 ,,FM00831,83,1,1,232,"ERC Market Analysis Addendum"
ERCR1   ,,FM00841,84,1,1,8,"ERC Residential Page 1"
ERCR2   ,,FM00842,84,2,1,194,"ERC Residential Page 2"
ERCR3   ,,FM00843,84,3,1,211,"ERC Residential Page 3"
ERCR4   ,,FM00844,84,4,1,114,"ERC Residential Page 4"
ERCR5   ,,FM00845,84,5,1,252,"ERC Residential Page 5"
ERCR6   ,,FM00846,84,6,1,15,"ERC Residential Page 6"
ERCBKR1 ,,FM00851,85,1,1,106,"ERC Brokers Market Analysis Page 1"
ERCBKR2 ,,FM00852,85,2,1,357,"ERC Brokers Market Analysis Page 2"
ERCBKR3 ,,FM00853,85,3,1,21,"ERC Brokers Market Analysis Page 3"
ERCR7   ,,FM00881,88,1,1,119,"ERC Extra Comps 456"
ERCR8   ,,FM00891,89,1,1,255,"ERC Extra Listings 456"
OPTADM1 ,,FM00971a,97,1,1,11,"Comments Untitled"
OPTADM2 ,,FM00971b,97,1,1,11,"Comments Untitled"
OPTADM3 ,,FM00971c,97,1,1,11,"Comments Untitled"
CMTADM1 ,,FM00981a,98,1,1,9,"Comments"
CMTADM4 ,,FM00981b,98,1,1,10,"Comments"
CMTADM5 ,,FM00981c,98,1,1,10,"Comments"
CMTADM6 ,,FM00981d,98,1,1,10,"Comments"
CMTADM7 ,,FM00981e,98,1,1,10,"Comments"
CMTADM8 ,,FM00981f,98,1,1,10,"Comments"
LOCMAP2 ,,FM01011,101,1,1,10,"Location Map"
FLDMAP2 ,,FM01021,102,1,1,10,"Flood Map"
PLTMAP2 ,,FM01031,103,1,1,10,"Plat Map""
UNTMAP2 ,,FM01141a,114,1,1,11,"Generic Map"
UNTMAP3 ,,FM01141b,114,1,1,11,"Generic Map"
UNTMAP4 ,,FM01141c,114,1,1,11,"Generic Map"
UNTMAP5 ,,FM01141d,114,1,1,11,"Generic Map"
UNTMAP6 ,,FM01141e,114,1,1,11,"Generic Map"
SRVYMAP ,,FM01171,117,1,1,10,"Survey Map"
RVUF1   ,,FM01251,125,1,1,65,"Review Field 1032/2000 Page 1"
RVUF2   ,,FM01252,125,2,1,25,"Review Field 1032/2000 Page 1"
REV     ,,FM01271,127,1,1,137,"Residential Appraisal Review Page 2"
REVCMP1 ,,FM01281,128,1,1,36,"Review Comparison (HH) Page 1"
REVCMP2 ,,FM01282,128,2,1,22,"Review Comparison (HH) Page 2"
