FormRevisionMap, "Comparable Rent XComps",122,2,3
PAGE,1, REVISED
0,1,1
0,2,2
0,3,3
0,4,4
0,5,5
0,6,6
0,7,7
0,8,8
0,9,9
0,10,10
0,11,11
0,12,12
0,13,13
0,14,14
0,15,15
0,16,16
0,17,17
0,18,18
0,19,19
0,20,20
0,21,21
0,22,22
0,23,23
0,24,24
0,25,25
0,26,26
0,27,27
0,28,28
0,29,29
0,30,30
0,31,31
0,32,32
0,33,33
0,34,34
0,35,-1
0,36,35
0,37,-1
0,38,36
0,39,-1
0,40,37
0,41,38
0,42,39
0,43,40
0,44,41
0,45,42
0,46,43
0,47,44
0,48,45
0,49,46
0,50,47
0,51,48
0,52,49
0,53,50
0,54,51
0,55,52
0,56,53
0,57,54
0,58,55
0,59,56
0,60,57
0,61,58
0,62,59
0,63,60
0,64,61
0,65,62
0,66,63
0,67,64
0,68,65
0,69,66
0,70,67
0,71,68
0,72,69
0,73,70
0,74,71
0,75,72
0,76,73
0,77,74
0,78,75
0,79,76
0,80,77
0,81,78
0,82,79
0,83,80
0,84,81
0,85,82
0,86,83
0,87,84
0,88,85
0,89,86
0,90,87
0,91,88
0,92,89
0,93,90
0,94,91
0,95,92
0,96,93
0,97,94
0,98,95
0,99,96
0,100,97
0,101,98
0,102,99
0,103,100
0,104,101
0,105,102
0,106,103
0,107,104
0,108,105
0,109,106
0,110,107
0,111,108
0,112,109
0,113,110
0,114,111
0,115,112
0,116,113
0,117,114
0,118,115
0,119,116
0,120,117
0,121,118
0,122,119
0,123,120
0,124,121
0,125,122
0,126,123
0,127,124
0,128,125
0,129,126
0,130,127
0,131,128
0,132,129
0,133,130
0,134,131
0,135,132
0,136,133
0,137,134
0,138,135
0,139,136
0,140,137
0,141,138
0,142,139
0,143,140
0,144,141
0,145,142
0,146,143
0,147,144
0,148,145
0,149,146
0,150,147
0,151,148
0,152,149
0,153,150
0,154,151
0,155,152
0,156,153
0,157,154
0,158,155
0,159,156
0,160,157
0,161,158
0,162,159
0,163,160
0,164,161
0,165,162
0,166,163
0,167,164
0,168,165
0,169,166
0,170,167
0,171,168
0,172,169
0,173,170
0,174,171
0,175,172
0,176,173
0,177,174
0,178,175
0,179,176
0,180,177
0,181,178
0,182,179
0,183,180
0,184,181
0,185,182
0,186,183
0,187,184
