FormRevisionMap, "Income 71A", 148, 1, 2
PAGE,1,REVISED		
0,1,1		
0,2,2		
0,3,3		
0,4,4		
0,5,5		
0,6,6		
0,7,7		
0,8,8		
0,9,9		
0,10,10		
0,11,11		
0,12,12		
0,13,13		
0,14,14		
0,15,15
0,16,16
0,17,17
0,18,18
0,19,19
0,20,20
0,21,21
0,22,22
0,23,23
0,24,24
1,25,0
2,26,25
0,27,26
0,28,27
0,29,28
0,30,29
0,31,30
0,32,31
0,33,32
0,34,33
0,35,34
0,36,35
0,37,36
0,38,37
0,39,38
0,40,39
0,41,40
0,42,41
0,43,42
0,44,43
0,45,44
0,46,45
0,47,46
0,48,47
0,49,48
0,50,49
0,51,50
0,52,51
0,53,52
0,54,53
0,55,54
0,56,55
0,57,56
0,58,57
0,59,58
0,60,59
0,61,60
0,62,61
0,63,62
0,64,63
0,65,64
0,66,65
0,67,66
0,68,67
0,69,68
0,70,69
0,71,70
0,72,71
0,73,72
0,74,73
0,75,74
0,76,75
0,77,76
0,78,77
0,79,78
0,80,79
0,81,80
0,82,81
0,83,82
0,84,83
0,85,84
0,86,85
0,87,86
0,88,87
0,89,88
0,90,89
0,91,90
0,92,91
0,93,92
0,94,93
0,95,94
0,96,95
0,97,96
0,98,97
0,99,98
0,100,99
0,101,100
0,102,101
0,103,102
0,104,103
0,105,104
0,106,105
0,107,106
0,108,107
0,109,108
0,110,109
0,111,110
0,112,111
0,113,112
0,114,113
0,115,114
0,116,115
0,117,116
0,118,117
0,119,118
0,120,119
0,121,120
0,122,121
0,123,122
0,124,123
0,125,124
0,126,125
0,127,126
0,128,127
0,129,128
0,130,129
0,131,130
0,132,131
0,133,132
0,134,133
0,135,134
0,136,135
0,137,136
0,138,137
0,139,138
0,140,139
0,141,140
0,142,141
0,143,142
0,144,143
0,145,144
0,146,145
0,147,146
0,148,147
0,149,148
0,150,149
0,151,150
0,152,151
0,153,152
0,154,153
0,155,154
0,156,155
0,157,156
0,158,157
0,159,158
0,160,159
PAGE,2,SAME
PAGE,3,REVISED
0,1,1
0,2,2
0,3,3
0,4,4
0,5,5
0,6,6
0,7,7
0,8,8
0,9,9
0,10,10
0,11,11
0,12,12
0,13,13
0,14,14
0,15,15
0,16,16
0,17,17
0,18,18
0,19,19
0,20,20
0,21,21
0,22,22
0,23,23
0,24,24
0,25,25
0,26,26
0,27,27
0,28,28
0,29,29
0,30,30
0,31,31
0,32,32
0,33,33
0,34,34
0,35,35
0,36,36
0,37,37
0,38,38
0,39,41
0,40,42
0,41,43
0,42,44
0,43,45
0,44,46
0,45,47
0,46,48
0,47,49
0,48,50
0,49,51
0,50,52
0,51,53
0,52,54
0,53,55
0,54,56
0,55,57
0,56,58
0,57,59
0,58,60
0,59,61
0,60,62
0,61,63
0,62,64
0,63,65
0,64,66
0,65,67
0,66,68
0,67,69
0,68,70
0,69,71
0,70,72
0,71,73
0,72,74
0,73,75
0,74,76
0,75,77
0,76,78
0,77,79
0,78,80
0,79,81
0,80,82
0,81,83
0,82,84
0,83,85
0,84,86
0,85,87
0,86,88
0,87,89
0,88,90
0,89,91
0,90,92
0,91,93
0,92,94
0,93,95
0,94,96
0,95,97
0,96,98
0,97,99
0,98,100
0,99,101
0,100,102
0,101,103
0,102,104
0,103,105
0,104,106
0,105,107
0,106,108
0,107,109
0,108,110
0,109,111
0,110,112
0,111,113
0,112,114
0,113,115
0,114,116
0,115,117
0,116,118
0,117,119
0,118,120
0,119,121
0,120,122
0,121,123
0,122,124
0,123,125
0,124,126
0,125,127
0,126,128
0,127,129
0,128,130
0,129,131
0,130,132
0,131,133
0,132,134
0,133,135
0,134,136
0,135,137
0,136,138
0,137,139
0,138,140
0,139,141
PAGE,4,SAME
PAGE,5,SAME
PAGE,6,SAME
PAGE,7,SAME
PAGE,8,REVISED
0,1,1
0,2,2
0,3,3
0,4,4
0,5,5
0,6,6
0,7,7
0,8,8
1,9,0
2,10,9
0,11,10
0,12,11
0,13,12
0,14,13
0,15,14
0,16,15
0,17,16
0,18,17
0,19,18
0,20,19
0,21,20
0,22,21
0,23,22
0,24,23
0,25,24
0,26,25
0,27,26
0,28,27
