XML Node Name,ClickForms Cell #,ClickForms Page #,Cell Type,WinTotal Field #
FORMLOGO,,1,,1
FOOTER1,,1,,2
ENCRYPTION,,1,,3
OTHERFILENUMBER,3,1,,4
FNMA_FILENUMBER,2,1,,5
SUBPROPADDRESS,4,1,,6
SUBCITY,5,1,,7
SUBSTATE,6,1,,8
SUBZIP,7,1,,9
SUBLEGALDESCRIP,8,1,,10
SUBCOUNTY,9,1,,11
SUBASSESSPARCEL,10,1,,12
SUBTAXYEAR,11,1,,13
SUBRETAX,12,1,,14
SUBSPECASSESS,13,1,,15
SUBBORROWER,14,1,,16
SUBCUROWNER,15,1,,17
SUBOCCUP_OWNER,16,1,,18
SUBOCCUP_TENANT,17,1,,19
SUBOCCUP_VACANT,18,1,,20
SUBPROJNAME,19,1,,21
SUBPROJTYPE_PUD,20,1,,22
SUBPROJTYPE_CONDO,21,1,,23
SUBHOA,22,1,,24
SUBSALEPRICE,23,1,,25
SUBDATEOFSALE,24,1,,26
SUBLOANCONC,25,1,,27
SUBPRA_FEESIMPLE,26,1,,28
SUBPRA_LEASEHOLD,27,1,,29
SUBMAPREF,28,1,,30
SUBCENTRACT,29,1,,31
NBHLOC_URBAN,30,1,,32
NBHLOC_SUBURBAN,31,1,,33
NBHLOC_RURAL,32,1,,34
NBHBLTUP_OVER75,33,1,,35
NBHBLTUP_25TO75,34,1,,36
NBHBLTUP_UNDER25,35,1,,37
NBHGRWRT_RAPID,36,1,,38
NBHGRWRT_STABLE,37,1,,39
NBHGRWRT_SLOW,38,1,,40
NBHPROPVAL_INCR,39,1,,41
NBHPROPVAL_STAB,40,1,,42
NBHPROPVAL_DECL,41,1,,43
NBHDEMSUP_SHRTG,42,1,,44
NBHDEMSUP_INBAL,43,1,,45
NBHDEMSUP_OVRSUP,44,1,,46
NBHMKTTIME_UND3,45,1,,47
NBHMKTTIME_3TO6,46,1,,48
NBHMKTTIME_OVR6,47,1,,49
SFHPRICELOW,49,1,,50
SFHPRICEHIGH,50,1,,51
SFHPRICEPRED,51,1,,52
SFHAGELOW,52,1,,53
SFHAGEHIGH,53,1,,54
SFHAGEPRED,54,1,,55
CONDOPRICELOW,55,1,,56
CONDOPRICEHIGH,56,1,,57
CONDOPRICEPREM,57,1,,58
CONDOAGELOW,58,1,,59
CONDOAGEHIGH,59,1,,60
CONDOAGEPREM,60,1,,61
NBHBOUNDARIES_1,48,1,,62
NBHBOUNDARIES_2,,1,,63
NBHBOUNDARIES_3,,1,,64
SITDIMENSIONS,61,1,,65
SITSITEAREA,62,1,,66
SITSHAPE,63,1,,67
SITZONCLASS,64,1,,68
SITZON_LEGAL,65,1,,69
SITZON_LEGALNON,66,1,,70
SITZON_ILLEGAL,67,1,,71
SITZON_NOZONING,68,1,,72
SITHBUSE_PRESENT,69,1,,73
SITHBUSE_OTHER,70,1,,74
UTLELECT_PUB,71,1,,75
UTLELECT_OTHER,72,1,,76
UTLGAS_PUB,73,1,,77
UTLGAS_OTHER,74,1,,78
UTLWATER_PUB,75,1,,79
UTLWATER_OTHER,76,1,,80
UTLSANSEW_PUB,77,1,,81
UTLSANSEW_OTHER,78,1,,82
OSISTREET_TYPE,79,1,,83
OSISTREET_PUB,80,1,,84
OSISTREET_PRIV,81,1,,85
OSIALLEY_TYPE,82,1,,86
OSIALLEY_PUB,83,1,,87
OSIALLEY_PRIV,84,1,,88
SITADVERSECON_YES,85,1,,89
SITADVERSECON_NO,86,1,,90
INTEXTINSPECT,87,1,,91
EXTINSP_STREET,88,1,,92
PREVAPPRFILES,89,1,,93
