XML Node Name,ClickForms Cell #,ClickForms Page #,Cell Type,
FOOTER1,,,,
GSU_AD_ADDR1,14,1,,
GSU_AD_ADDR2,15,1,,
GSU_PR_SALEPR1,16,1,,
GSU_PU_PERGLA,17,1,,
GSU_SC_SOURCE1,18,1,,
GSU_SC_SOURCE2,19,1,,
GSU_FN_CONC1,,,,
GSU_FN_CONC2,,,,
GSU_DT_SALTIM1,,,,
GSU_LC_LOCAT1,20,1,,
GSU_RG_RIGHTS,21,1,,
GSU_ST_SITSIZE,22,1,,
GSU_ST_SITEVW,23,1,,
GSU_DA_DESAPL1,24,1,,
GSU_DA_CONSTQL,25,1,,
GSU_AG_AGYRBLT,27,1,,
GSU_AG_COND1,28,1,,
GSU_RM_TOTAL,29,1,,
GSU_RM_BED,30,1,,
GSU_RM_BATH,31,1,,
GSU_SF_GLA,32,1,,
GSU_PU_PERSF,33,1,,
GSU_BM_BSM1,34,1,,
GSU_BM_BSM2,,,,
GSU_FU_FUNCTUT,35,1,,
GSU_HC_HTCOOL,36,1,,
GSU_EE_EFFIC1,37,1,,
GSU_CR_GARPRK1,38,1,,
GSU_PF_PORPAT1,39,1,,
GSU_EE_FPWDSTV,40,1,,
GSU_PF_FENCPL,41,1,,
GSU_CM_OTHR1_TEXT,42,1,,
GSU_BL_BLANK1,43,1,,
GSU_HS_PRIOR1,228,1,,
GSU_HS_PRIOR2,229,1,,
GSU_HS_PRIOR3,230,1,,
GC1_AD_ADDR1,45,1,,
GC1_AD_ADDR2,46,1,,
GC1_PROX1,47,1,,
GC1_PR_SALEPR1,48,1,,
GC1_PU_PERGLA,49,1,,
GC1_SC_SOURCE1,50,1,,
GC1_SC_SOURCE2,51,1,,
GC1_FN_CONC1,52,1,,
GC1_FN_CONC1_ADJ,53,1,,
GC1_FN_CONC2,54,1,,
GC1_FN_CONC2_ADJ,55,1,,
GC1_DT_SALTIM1,56,1,,
GC1_DT_SALTIM1_ADJ,57,1,,
GC1_LC_LOCAT1,58,1,,
GC1_LC_LOCAT1_ADJ,59,1,,
GC1_RG_RIGHTS,60,1,,
GC1_RG_RIGHTS_ADJ,61,1,,
GC1_ST_SITSIZE,62,1,,
GC1_ST_SITSIZE_ADJ,63,1,,
GC1_ST_SITEVW,64,1,,
GC1_ST_SITEVW_ADJ,65,1,,
GC1_DA_DESAPL1,66,1,,
GC1_DA_DESAPL1_ADJ,67,1,,
GC1_DA_CONSTQL,68,1,,
GC1_DA_CONSTQL_ADJ,69,1,,
GC1_AG_AGYRBLT,70,1,,
GC1_AG_AGYRBLT_ADJ,71,1,,
GC1_AG_COND1,72,1,,
GC1_AG_COND1_ADJ,73,1,,
GC1_RM_BED_ADJ,74,1,,
GC1_RM_TOTAL,75,1,,
