XML Node Name,ClickForms Cell #,ClickForms Page #,Cell Type,WinTotal Field #,Field Description,Form Section
FOOTER1,,1,,1,"Hidden, or not used","Hidden, or not used"
OTHERFILENUMBER,5,1,,2,Other File #,None
FNMA_FILENUMBER,3,1,,3,FNMA File #,None
SUBBORROWER,6,1,,4,Borrower,Identification
SUBCENTRACT,7,1,,5,Census Tract,Identification
SUBMAPREF,8,1,,6,Map Reference,Identification
SUBPROPADDRESS,9,1,,7,Property Address,Identification
SUBCITY,10,1,,8,City,Identification
SUBCOUNTY,11,1,,9,County,Identification
SUBSTATE,12,1,,10,State,Identification
SUBZIP,13,1,,11,Zip Code,Identification
SUBLEGALDESCRIP,14,1,,12,Legal Description,Identification
SUBSALEPRICE,15,1,,13,Sale Price,Identification
SUBDATEOFSALE,16,1,,14,Date of Sale,Identification
SUBLOANTERM,17,1,,15,Loan Term,Identification
SUBPRA_FEESIMPLE,18,1,,16,Property Rights: Fee Simple,Identification
SUBPRA_LEASEHOLD,19,1,,17,Property Rights: Leasehold,Identification
SUBPRA_DEMINI,20,1,,18,Property Rights: De Minimis PUD,Identification
SUBRETAX,21,1,,19,"Hidden, or not used","Hidden, or not used"
SUBLOANCONC,22,1,,20,Loan Charges to be Paid by Seller,Identification
SUBOTHERCONC,23,1,,21,Other Sales Concessions,Identification
SUBLENCLIENT,24,1,,22,Lender/Client,Identification
SUBLCADDRESS,25,1,,23,Lender/Client: Address,Identification
SUBOCCUPANT,26,1,,24,Occupant,Identification
SUBAPPRAISER,27,1,,25,Appraiser,Identification
SUBAPPRINSTRUCT,28,1,,26,Instructions to Appraiser,Identification
FLD25,,1,,27,"Hidden, or not used","Hidden, or not used"
NBHLOC_URBAN,30,1,,28,Location: Urban,Neighborhood
NBHLOC_SUBURBAN,31,1,,29,Location: Suburban,Neighborhood
NBHLOC_RURAL,32,1,,30,Location: Rural,Neighborhood
NBHBLTUP_OVER75,33,1,,31,Built up: Over 75%,Neighborhood
NBHBLTUP_25TO75,34,1,,32,Built up: 25% to 75%,Neighborhood
NBHBLTUP_UNDER25,35,1,,33,Built up: Under 25%,Neighborhood
NBHGRWRT_FULL,36,1,,34,Growth Rate: Fully Developed,Neighborhood
NBHGRWRT_RAPID,37,1,,35,Growth Rate: Rapid,Neighborhood
NBHGRWRT_STABLE,38,1,,36,Growth Rate: Steady,Neighborhood
NBHGRWRT_SLOW,39,1,,37,Growth Rate: Slow,Neighborhood
